 ,Sapajus,Cebus,Nomas,Pongo,Hylob,Homo,Pan,Gorilla,Macaca,Pilio,Colobus
Sapajus,0,0.00146,0.04301,0.04299,0.04299,0.05058,0.05058,0.05793,0.04288,0.05747,0.06476
Cebus,0,0,0.05059,0.05057,0.05057,0.05828,0.05828,0.06571,0.05044,0.06518,0.07254
Nomas,0,0,0,0.01425,0.01425,0.00819,0.00819,0.02881,0.05077,0.05066,0.03579
Pongo,0,0,0,0,0.00000,0.01423,0.01423,0.02140,0.05075,0.05064,0.03577
Hylob,0,0,0,0,0,0.01423,0.01423,0.02140,0.05075,0.05064,0.03577
Homo,0,0,0,0,0,0,0.00000,0.00708,0.05849,0.05837,0.04329
Pan,0,0,0,0,0,0,0,0.00708,0.05849,0.05837,0.04329
Gorilla,0,0,0,0,0,0,0,0,0.05111,0.05100,0.00860
Macaca,0,0,0,0,0,0,0,0,0,0.04333,0.03596
Pilio,0,0,0,0,0,0,0,0,0,0,0.02864
Colobus,0,0,0,0,0,0,0,0,0,0,0
