 ,Globicepha,Tursiops,Orcinus,Equus,Eptesicus,Ursus,Halichoeru,Zalophus,Odobenus
Globicepha,0,0,0.00647,0.22742,0.24748,0.23810,0.22062,0.23923,0.23914
Tursiops,0,0,0.00647,0.22742,0.24748,0.23810,0.22062,0.23923,0.23914
Orcinus,0,0,0,0.23672,0.24696,0.23759,0.22012,0.23871,0.23863
Equus,0,0,0,0,0.17232,0.19623,0.16890,0.19643,0.18618
Eptesicus,0,0,0,0,0,0.18468,0.14519,0.15477,0.15357
Ursus,0,0,0,0,0,0,0.08699,0.07984,0.08780
Halichoeru,0,0,0,0,0,0,0,0.04329,0.05831
Zalophus,0,0,0,0,0,0,0,0,0.00998
Odobenus,0,0,0,0,0,0,0,0,0
