 ,Propith,Fukomys,Otolemur,Aotus,Homo,Pan,Rhinopi,Jaculus,Arvican
Propithecu,0,0.23090,0.20916,0.16051,0.17019,0.17019,0.17937,0.22577,0.19315
Fukomys,0,0,0.19350,0.13507,0.14237,0.14237,0.12718,0.17731,0.22242
Otolemur,0,0,0,0.08624,0.10486,0.10486,0.10548,0.23439,0.22355
Aotus,0,0,0,0,0.01126,0.01126,0.04247,0.19205,0.18545
Homo,0,0,0,0,0,0,0.01404,0.20144,0.19424
Pan,0,0,0,0,0,0,0.01404,0.20144,0.19424
Rhinopithe,0,0,0,0,0,0,0,0.18564,0.17843
Jaculus,0,0,0,0,0,0,0,0,0.17154
Arvicanthi,0,0,0,0,0,0,0,0,0
